"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 07 23:21:26 GMT 2024","Mon Oct 07 23:21:27 GMT 2024","272","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Monitoring]",""
"failed","Mon Oct 07 23:21:54 GMT 2024","Mon Oct 07 23:23:47 GMT 2024","113641","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create Context and check k8s resources]",""
"passed","Mon Oct 07 23:21:26 GMT 2024","Mon Oct 07 23:21:26 GMT 2024","117","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Nats]",""
"passed","Mon Oct 07 23:21:50 GMT 2024","Mon Oct 07 23:21:54 GMT 2024","3329","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Delete Resources and Verify Cleanup]",""
"passed","Mon Oct 07 23:17:20 GMT 2024","Mon Oct 07 23:17:21 GMT 2024","404","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Istio]",""
"passed","Mon Oct 07 23:05:35 GMT 2024","Mon Oct 07 23:17:20 GMT 2024","705007","features","0_0_mindwm_lifecycle","","","","test_scenarios[file:features/0_0_mindwm_lifecycle.feature-Mindwm Lifecycle Management-Deploy Mindwm Cluster and Applications]",""
"passed","Mon Oct 07 23:17:21 GMT 2024","Mon Oct 07 23:21:26 GMT 2024","245445","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Redpanda]",""
"passed","Mon Oct 07 23:21:26 GMT 2024","Mon Oct 07 23:21:26 GMT 2024","128","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Cert manager]",""
"passed","Mon Oct 07 23:21:28 GMT 2024","Mon Oct 07 23:21:39 GMT 2024","11420","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create User]",""
"passed","Mon Oct 07 23:21:39 GMT 2024","Mon Oct 07 23:21:50 GMT 2024","11326","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Host]",""
"passed","Mon Oct 07 23:17:20 GMT 2024","Mon Oct 07 23:17:20 GMT 2024","517","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Knative]",""
"passed","Mon Oct 07 23:21:27 GMT 2024","Mon Oct 07 23:21:28 GMT 2024","1077","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Context]",""
