"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 20 19:05:17 GMT 2024","Fri Sep 20 19:05:17 GMT 2024","103","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Istio]",""
"passed","Fri Sep 20 18:49:44 GMT 2024","Fri Sep 20 19:05:12 GMT 2024","927593","features","0_0_mindwm_lifecycle","","","","test_scenarios[file:features/0_0_mindwm_lifecycle.feature-Mindwm Lifecycle Management-Deploy Mindwm Cluster and Applications]",""
"broken","Fri Sep 20 19:06:27 GMT 2024","Fri Sep 20 19:06:28 GMT 2024","1158","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Delete Resources and Verify Cleanup]",""
"passed","Fri Sep 20 19:06:03 GMT 2024","Fri Sep 20 19:06:04 GMT 2024","1067","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Context]",""
"passed","Fri Sep 20 19:06:16 GMT 2024","Fri Sep 20 19:06:27 GMT 2024","11196","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Host]",""
"passed","Fri Sep 20 19:05:57 GMT 2024","Fri Sep 20 19:05:57 GMT 2024","135","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Cert manager]",""
"passed","Fri Sep 20 19:06:04 GMT 2024","Fri Sep 20 19:06:16 GMT 2024","11277","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create User]",""
"passed","Fri Sep 20 19:05:57 GMT 2024","Fri Sep 20 19:05:57 GMT 2024","117","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Nats]",""
"passed","Fri Sep 20 19:05:17 GMT 2024","Fri Sep 20 19:05:57 GMT 2024","39377","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Redpanda]",""
"passed","Fri Sep 20 19:05:12 GMT 2024","Fri Sep 20 19:05:17 GMT 2024","5427","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Knative]",""
"passed","Fri Sep 20 19:05:57 GMT 2024","Fri Sep 20 19:06:03 GMT 2024","6313","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Monitoring]",""
