"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Mindwm event driven architecture","13","0","","0"
"0","","0","Mindwm Lifecycle Management","1","0","","0"
