"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75259","Send ping via nats host: travellaptop, user: shesha","features","Fri May 30 05:26:43 UTC 2025","passed","Fri May 30 05:27:58 UTC 2025","","MindWM two hosts one user function test","",""
"","106238","Create environment","features","Fri May 30 05:11:46 UTC 2025","passed","Fri May 30 05:13:32 UTC 2025","","MindWM kafka_cdc function test","",""
"","168807","cleanup","features","Fri May 30 04:57:56 UTC 2025","passed","Fri May 30 05:00:45 UTC 2025","","Mindwm event driven architecture","",""
"","10250","Create godzilla and connects it to tokyo","features","Fri May 30 05:30:55 UTC 2025","passed","Fri May 30 05:31:05 UTC 2025","","MindWM two users one context function test","",""
"","185","zot registry","features","Fri May 30 04:55:52 UTC 2025","passed","Fri May 30 04:55:52 UTC 2025","","Mindwm event driven architecture","",""
"","10201","Create User","features","Fri May 30 05:00:45 UTC 2025","passed","Fri May 30 05:00:55 UTC 2025","","MindWM Custom Resource Definition","",""
"","72374","""Delete"" data capture event","features","Fri May 30 05:15:02 UTC 2025","passed","Fri May 30 05:16:14 UTC 2025","","MindWM kafka_cdc function test","",""
"","93110","Prepare environment, context: tokyo","features","Fri May 30 05:29:22 UTC 2025","passed","Fri May 30 05:30:55 UTC 2025","","MindWM two users one context function test","",""
"","10265","Create User bob","features","Fri May 30 05:03:18 UTC 2025","passed","Fri May 30 05:03:29 UTC 2025","","MindWM Custom kubernetes resources","",""
"","86466","Send ping directly to function broker-ingress.knative-eventing/context-philadelphia/context-broker","features","Fri May 30 05:19:13 UTC 2025","passed","Fri May 30 05:20:40 UTC 2025","","MindWM clipboard EDA test","",""
"","322","Cleanup tablet host for tengu username","features","Fri May 30 05:34:18 UTC 2025","passed","Fri May 30 05:34:18 UTC 2025","","MindWM two users one context function test","",""
"","10123","Create travellaptop for user shesha","features","Fri May 30 05:25:16 UTC 2025","passed","Fri May 30 05:25:26 UTC 2025","","MindWM two hosts one user function test","",""
"","82","Check that Node-RED contains the expected tabs for context,user,host xrd resources","features","Fri May 30 05:04:55 UTC 2025","passed","Fri May 30 05:04:55 UTC 2025","","MindWM Custom kubernetes resources","",""
"","126","Cleanup laptop host for godzilla username","features","Fri May 30 05:34:18 UTC 2025","passed","Fri May 30 05:34:18 UTC 2025","","MindWM two users one context function test","",""
"","10150","Create workstation01 for user shesha","features","Fri May 30 05:25:06 UTC 2025","passed","Fri May 30 05:25:16 UTC 2025","","MindWM two hosts one user function test","",""
"","77","Check that Node-RED contains the expected tabs for context,user,host xrd resources","features","Fri May 30 05:04:55 UTC 2025","passed","Fri May 30 05:04:55 UTC 2025","","MindWM Custom kubernetes resources","",""
"","41835","""Update"" data capture event","features","Fri May 30 05:14:20 UTC 2025","passed","Fri May 30 05:15:02 UTC 2025","","MindWM kafka_cdc function test","",""
"","75","Check that Node-RED contains the expected tabs for context,user,host xrd resources","features","Fri May 30 05:04:55 UTC 2025","passed","Fri May 30 05:04:55 UTC 2025","","MindWM Custom kubernetes resources","",""
"","195","Cert manager","features","Fri May 30 04:54:59 UTC 2025","passed","Fri May 30 04:54:59 UTC 2025","","Mindwm event driven architecture","",""
"","30580","Prepare environment for ping tests","features","Fri May 30 05:06:10 UTC 2025","passed","Fri May 30 05:06:41 UTC 2025","","MindWM Ping-pong EDA test","",""
"","11722","Create Host","features","Fri May 30 05:00:55 UTC 2025","passed","Fri May 30 05:01:07 UTC 2025","","MindWM Custom Resource Definition","",""
"","227","Istio","features","Fri May 30 04:54:58 UTC 2025","passed","Fri May 30 04:54:58 UTC 2025","","Mindwm event driven architecture","",""
"","33857","Mindwm-manager integration test","features","Fri May 30 05:41:07 UTC 2025","passed","Fri May 30 05:41:41 UTC 2025","","MindWM manager integration test","",""
"","21459","Send ping cloudevent to endpoint broker-ingress.knative-eventing/context-green4/context-broker, username: amanda4, host: pi6-host, traceparent: 00-5df92f3577b34da6a3ce929d0e0e4734-00f067aa0ba902b7-00","features","Fri May 30 05:06:41 UTC 2025","passed","Fri May 30 05:07:03 UTC 2025","","MindWM Ping-pong EDA test","",""
"","10138","Create tablet resource and connects it to tengu user","features","Fri May 30 05:31:26 UTC 2025","passed","Fri May 30 05:31:36 UTC 2025","","MindWM two users one context function test","",""
"","83314","Send cloudevent to ""broker-ingress.knative-eventing/context-red/context-broker""","features","Fri May 30 05:10:23 UTC 2025","passed","Fri May 30 05:11:46 UTC 2025","","MindWM io context function test","",""
"","92","Cleanup tokyo context","features","Fri May 30 05:34:20 UTC 2025","passed","Fri May 30 05:34:20 UTC 2025","","MindWM two users one context function test","",""
"","319","Tekton-pipelines","features","Fri May 30 04:55:51 UTC 2025","passed","Fri May 30 04:55:52 UTC 2025","","Mindwm event driven architecture","",""
"","396","Knative Eventing","features","Fri May 30 04:54:58 UTC 2025","passed","Fri May 30 04:54:58 UTC 2025","","Mindwm event driven architecture","",""
"","195","Cleanup hosts travellaptop in user shesha","features","Fri May 30 05:29:21 UTC 2025","passed","Fri May 30 05:29:22 UTC 2025","","MindWM two hosts one user function test","",""
"","82407","Send iodocument via nats host: <host>, user: <username> and check that second user received graph update","features","Fri May 30 05:31:36 UTC 2025","passed","Fri May 30 05:32:58 UTC 2025","","MindWM two users one context function test","",""
