"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Mindwm event driven architecture","13","0","","0"
"0","","0","Mindwm Lifecycle Management","1","0","","0"
