"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 22 13:44:00 GMT 2024","Sun Sep 22 13:44:00 GMT 2024","351","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Monitoring]",""
"passed","Sun Sep 22 13:44:28 GMT 2024","Sun Sep 22 13:46:19 GMT 2024","110649","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create Context and check k8s resources]",""
"passed","Sun Sep 22 13:46:30 GMT 2024","Sun Sep 22 13:46:41 GMT 2024","11255","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create Host and check k8s resources]",""
"passed","Sun Sep 22 13:44:00 GMT 2024","Sun Sep 22 13:44:02 GMT 2024","1067","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Context]",""
"passed","Sun Sep 22 13:51:20 GMT 2024","Sun Sep 22 13:51:20 GMT 2024","149","features","4_mindwm_io_context","","","","test_scenarios[file:features/4_mindwm_io_context.feature-MindWM io context function test-Cleanup kitty@tablet in red[table_rows:[line: 63]]]",""
"passed","Sun Sep 22 13:44:24 GMT 2024","Sun Sep 22 13:44:28 GMT 2024","3752","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Delete Resources and Verify Cleanup]",""
"passed","Sun Sep 22 13:27:29 GMT 2024","Sun Sep 22 13:43:59 GMT 2024","990177","features","0_0_mindwm_lifecycle","","","","test_scenarios[file:features/0_0_mindwm_lifecycle.feature-Mindwm Lifecycle Management-Deploy Mindwm Cluster and Applications]",""
"passed","Sun Sep 22 13:44:02 GMT 2024","Sun Sep 22 13:44:13 GMT 2024","11397","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create User]",""
"passed","Sun Sep 22 13:44:00 GMT 2024","Sun Sep 22 13:44:00 GMT 2024","103","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Cert manager]",""
"passed","Sun Sep 22 13:44:00 GMT 2024","Sun Sep 22 13:44:00 GMT 2024","188","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Redpanda]",""
"passed","Sun Sep 22 13:51:20 GMT 2024","Sun Sep 22 13:53:52 GMT 2024","151222","features","5_mindwm_kafka_cdc","","","","test_scenarios[file:features/5_mindwm_kafka_cdc.feature-MindWM kafka_cdc function test-io context blue[table_rows:[line: 68]]]",""
"passed","Sun Sep 22 13:43:59 GMT 2024","Sun Sep 22 13:44:00 GMT 2024","484","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Knative]",""
"passed","Sun Sep 22 13:48:20 GMT 2024","Sun Sep 22 13:49:04 GMT 2024","44068","features","3_mindwm_ping_pong","","","","test_scenarios[file:features/3_mindwm_ping_pong.feature-MindWM Ping-pong EDA test-Ping green4[table_rows:[line: 50]]]",""
"passed","Sun Sep 22 13:46:41 GMT 2024","Sun Sep 22 13:48:20 GMT 2024","98803","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Delete Resources and Verify Cleanup]",""
"passed","Sun Sep 22 13:49:04 GMT 2024","Sun Sep 22 13:51:20 GMT 2024","135909","features","4_mindwm_io_context","","","","test_scenarios[file:features/4_mindwm_io_context.feature-MindWM io context function test-io context red[table_rows:[line: 50]]]",""
"passed","Sun Sep 22 13:44:00 GMT 2024","Sun Sep 22 13:44:00 GMT 2024","132","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Nats]",""
"passed","Sun Sep 22 13:49:04 GMT 2024","Sun Sep 22 13:49:04 GMT 2024","177","features","3_mindwm_ping_pong","","","","test_scenarios[file:features/3_mindwm_ping_pong.feature-MindWM Ping-pong EDA test-Cleanup amanda4@pi6-host in green4[table_rows:[line: 63]]]",""
"passed","Sun Sep 22 13:44:00 GMT 2024","Sun Sep 22 13:44:00 GMT 2024","118","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Istio]",""
"passed","Sun Sep 22 13:44:13 GMT 2024","Sun Sep 22 13:44:24 GMT 2024","11195","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Host]",""
"passed","Sun Sep 22 13:53:52 GMT 2024","Sun Sep 22 13:53:52 GMT 2024","148","features","5_mindwm_kafka_cdc","","","","test_scenarios[file:features/5_mindwm_kafka_cdc.feature-MindWM kafka_cdc function test-Cleanup garmr@helheim in blue[table_rows:[line: 81]]]",""
"passed","Sun Sep 22 13:46:19 GMT 2024","Sun Sep 22 13:46:30 GMT 2024","11245","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create User and check k8s resources]",""
