"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 20 17:05:32 GMT 2024","Fri Sep 20 17:05:33 GMT 2024","127","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Redpanda]",""
"passed","Fri Sep 20 17:05:33 GMT 2024","Fri Sep 20 17:05:36 GMT 2024","3106","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Context]",""
"passed","Fri Sep 20 17:05:32 GMT 2024","Fri Sep 20 17:05:32 GMT 2024","339","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Knative]",""
"passed","Fri Sep 20 17:07:53 GMT 2024","Fri Sep 20 17:08:04 GMT 2024","11184","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create Host and check k8s resources]",""
"broken","Fri Sep 20 17:08:04 GMT 2024","Fri Sep 20 17:10:12 GMT 2024","127798","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Delete Resources and Verify Cleanup]",""
"passed","Fri Sep 20 17:05:53 GMT 2024","Fri Sep 20 17:06:04 GMT 2024","11184","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Host]",""
"passed","Fri Sep 20 16:49:29 GMT 2024","Fri Sep 20 17:05:32 GMT 2024","962433","features","0_0_mindwm_lifecycle","","","","test_scenarios[file:features/0_0_mindwm_lifecycle.feature-Mindwm Lifecycle Management-Deploy Mindwm Cluster and Applications]",""
"passed","Fri Sep 20 17:05:36 GMT 2024","Fri Sep 20 17:05:53 GMT 2024","16436","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create User]",""
"passed","Fri Sep 20 17:05:33 GMT 2024","Fri Sep 20 17:05:33 GMT 2024","59","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Cert manager]",""
"passed","Fri Sep 20 17:05:33 GMT 2024","Fri Sep 20 17:05:33 GMT 2024","104","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Nats]",""
"passed","Fri Sep 20 17:06:05 GMT 2024","Fri Sep 20 17:07:41 GMT 2024","95901","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create Context and check k8s resources]",""
"passed","Fri Sep 20 17:06:04 GMT 2024","Fri Sep 20 17:06:05 GMT 2024","1625","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Delete Resources and Verify Cleanup]",""
"passed","Fri Sep 20 17:05:32 GMT 2024","Fri Sep 20 17:05:32 GMT 2024","112","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Istio]",""
"passed","Fri Sep 20 17:07:41 GMT 2024","Fri Sep 20 17:07:53 GMT 2024","11257","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create User and check k8s resources]",""
"passed","Fri Sep 20 17:05:33 GMT 2024","Fri Sep 20 17:05:33 GMT 2024","280","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Monitoring]",""
