"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 21 16:20:33 GMT 2024","Sat Sep 21 16:20:44 GMT 2024","11333","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create User and check k8s resources]",""
"passed","Sat Sep 21 16:24:03 GMT 2024","Sat Sep 21 16:26:28 GMT 2024","145206","features","4_mindwm_io_context","","","","test_scenarios[file:features/4_mindwm_io_context.feature-MindWM io context function test-io context red[table_rows:[line: 48]]]",""
"passed","Sat Sep 21 16:18:05 GMT 2024","Sat Sep 21 16:18:06 GMT 2024","330","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Monitoring]",""
"passed","Sat Sep 21 16:23:23 GMT 2024","Sat Sep 21 16:24:03 GMT 2024","39972","features","3_mindwm_ping_pong","","","","test_scenarios[file:features/3_mindwm_ping_pong.feature-MindWM Ping-pong EDA test-Ping green4[table_rows:[line: 50]]]",""
"passed","Sat Sep 21 16:18:31 GMT 2024","Sat Sep 21 16:20:33 GMT 2024","122037","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create Context and check k8s resources]",""
"passed","Sat Sep 21 16:18:30 GMT 2024","Sat Sep 21 16:18:31 GMT 2024","1275","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Delete Resources and Verify Cleanup]",""
"passed","Sat Sep 21 16:18:05 GMT 2024","Sat Sep 21 16:18:05 GMT 2024","117","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Cert manager]",""
"passed","Sat Sep 21 16:18:18 GMT 2024","Sat Sep 21 16:18:30 GMT 2024","11268","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Host]",""
"passed","Sat Sep 21 16:02:29 GMT 2024","Sat Sep 21 16:13:54 GMT 2024","685203","features","0_0_mindwm_lifecycle","","","","test_scenarios[file:features/0_0_mindwm_lifecycle.feature-Mindwm Lifecycle Management-Deploy Mindwm Cluster and Applications]",""
"passed","Sat Sep 21 16:20:56 GMT 2024","Sat Sep 21 16:23:23 GMT 2024","147212","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Delete Resources and Verify Cleanup]",""
"passed","Sat Sep 21 16:13:55 GMT 2024","Sat Sep 21 16:18:05 GMT 2024","250513","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Redpanda]",""
"passed","Sat Sep 21 16:24:03 GMT 2024","Sat Sep 21 16:24:03 GMT 2024","205","features","3_mindwm_ping_pong","","","","test_scenarios[file:features/3_mindwm_ping_pong.feature-MindWM Ping-pong EDA test-Cleanup amanda4@pi6-host in green4[table_rows:[line: 63]]]",""
"passed","Sat Sep 21 16:13:54 GMT 2024","Sat Sep 21 16:13:54 GMT 2024","530","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Knative]",""
"passed","Sat Sep 21 16:18:05 GMT 2024","Sat Sep 21 16:18:05 GMT 2024","137","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Nats]",""
"passed","Sat Sep 21 16:18:06 GMT 2024","Sat Sep 21 16:18:07 GMT 2024","1079","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Context]",""
"passed","Sat Sep 21 16:13:54 GMT 2024","Sat Sep 21 16:13:55 GMT 2024","126","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Istio]",""
"passed","Sat Sep 21 16:26:28 GMT 2024","Sat Sep 21 16:26:29 GMT 2024","1199","features","4_mindwm_io_context","","","","test_scenarios[file:features/4_mindwm_io_context.feature-MindWM io context function test-Cleanup kitty@tablet in red[table_rows:[line: 61]]]",""
"passed","Sat Sep 21 16:18:07 GMT 2024","Sat Sep 21 16:18:18 GMT 2024","11504","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create User]",""
"passed","Sat Sep 21 16:20:44 GMT 2024","Sat Sep 21 16:20:56 GMT 2024","11299","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create Host and check k8s resources]",""
