"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10170","Create godzilla and connects it to tokyo","features","Mon Jun 30 05:38:16 UTC 2025","passed","Mon Jun 30 05:38:26 UTC 2025","","MindWM two users one context function test","",""
"","130","Cleanup ci@localhost in tratata","features","Mon Jun 30 05:50:23 UTC 2025","passed","Mon Jun 30 05:50:23 UTC 2025","","MindWM manager integration test","",""
"","82518","Send iodocument via nats host: workstation01, user: shesha and check that second host received graph the update","features","Mon Jun 30 05:35:12 UTC 2025","passed","Mon Jun 30 05:36:35 UTC 2025","","MindWM two hosts one user function test","",""
"","69801","Delete Resources and Verify Cleanup","features","Mon Jun 30 05:11:50 UTC 2025","passed","Mon Jun 30 05:13:00 UTC 2025","","MindWM Custom kubernetes resources","",""
"","33812","Send ping message to the service","features","Mon Jun 30 05:04:07 UTC 2025","passed","Mon Jun 30 05:04:41 UTC 2025","","Mindwm event driven architecture","",""
"","78","Check that Node-RED contains the expected tabs for context,user,host xrd resources","features","Mon Jun 30 05:11:50 UTC 2025","passed","Mon Jun 30 05:11:50 UTC 2025","","MindWM Custom kubernetes resources","",""
"","10135","Create tablet resource and connects it to tengu user","features","Mon Jun 30 05:38:46 UTC 2025","passed","Mon Jun 30 05:38:56 UTC 2025","","MindWM two users one context function test","",""
"","111611","Create environment","features","Mon Jun 30 05:18:49 UTC 2025","passed","Mon Jun 30 05:20:41 UTC 2025","","MindWM kafka_cdc function test","",""
"","159","Cleanup flukeman@the-host in philadelphia","features","Mon Jun 30 05:30:35 UTC 2025","passed","Mon Jun 30 05:30:36 UTC 2025","","MindWM clipboard EDA test","",""
"","10075","Create mindwm-function","features","Mon Jun 30 05:07:53 UTC 2025","passed","Mon Jun 30 05:08:03 UTC 2025","","MindWM Custom Resource Definition","",""
"","76444","Send ping via nats topic ""org.mindwm.flukeman.the-host.clipboard""","features","Mon Jun 30 05:29:19 UTC 2025","passed","Mon Jun 30 05:30:35 UTC 2025","","MindWM clipboard EDA test","",""
"","219","Check net-istio pods","features","Mon Jun 30 05:13:00 UTC 2025","passed","Mon Jun 30 05:13:00 UTC 2025","","Knative-Serving net-istio","",""
"","416","Nats","features","Mon Jun 30 05:02:39 UTC 2025","passed","Mon Jun 30 05:02:40 UTC 2025","","Mindwm event driven architecture","",""
"","627154","Deploy Mindwm Cluster and Applications","features","Mon Jun 30 04:52:09 UTC 2025","passed","Mon Jun 30 05:02:36 UTC 2025","","Mindwm Lifecycle Management","",""
"","316","Knative Serving","features","Mon Jun 30 05:02:37 UTC 2025","passed","Mon Jun 30 05:02:38 UTC 2025","","Mindwm event driven architecture","",""
"","76254","Send ping via nats host: travellaptop, user: shesha","features","Mon Jun 30 05:33:56 UTC 2025","passed","Mon Jun 30 05:35:12 UTC 2025","","MindWM two hosts one user function test","",""
"","72261","""Delete"" data capture event","features","Mon Jun 30 05:22:11 UTC 2025","passed","Mon Jun 30 05:23:23 UTC 2025","","MindWM kafka_cdc function test","",""
"","545","Knative Eventing","features","Mon Jun 30 05:02:38 UTC 2025","passed","Mon Jun 30 05:02:38 UTC 2025","","Mindwm event driven architecture","",""
"","202","Cleanup tengu username","features","Mon Jun 30 05:41:40 UTC 2025","passed","Mon Jun 30 05:41:40 UTC 2025","","MindWM two users one context function test","",""
"","217","Cleanup godzilla username","features","Mon Jun 30 05:41:40 UTC 2025","passed","Mon Jun 30 05:41:40 UTC 2025","","MindWM two users one context function test","",""
"","320","Cleanup amanda4@pi6-host in green4","features","Mon Jun 30 05:15:32 UTC 2025","passed","Mon Jun 30 05:15:32 UTC 2025","","MindWM Ping-pong EDA test","",""
"","72282","Send ping via nats topic ""org.mindwm.amanda4.pi6-host.L3RtcC90bXV4LTEwMDAvZGVmYXVsdA==.09fb195c-c419-6d62-15e0-51b6ee990922.3623.iodocument""","features","Mon Jun 30 05:14:20 UTC 2025","passed","Mon Jun 30 05:15:32 UTC 2025","","MindWM Ping-pong EDA test","",""
"","10137","Create travellaptop for user shesha","features","Mon Jun 30 05:32:28 UTC 2025","passed","Mon Jun 30 05:32:38 UTC 2025","","MindWM two hosts one user function test","",""
"","112410","Create context red, user kitty, host: tablet","features","Mon Jun 30 05:15:32 UTC 2025","passed","Mon Jun 30 05:17:25 UTC 2025","","MindWM io context function test","",""
