"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Mindwm event driven architecture","16","0","","0"
"0","","0","MindWM Custom kubernetes resources","4","0","","0"
"0","","0","MindWM Custom Resource Definition","4","0","","0"
"0","","1","MindWM Ping-pong EDA test","2","0","","0"
"0","","0","Knative-Serving net-istio","1","0","","0"
"0","","0","Mindwm Lifecycle Management","1","0","","0"
