"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 20 22:20:21 GMT 2024","Fri Sep 20 22:20:27 GMT 2024","5456","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Knative]",""
"passed","Fri Sep 20 22:06:40 GMT 2024","Fri Sep 20 22:20:21 GMT 2024","821395","features","0_0_mindwm_lifecycle","","","","test_scenarios[file:features/0_0_mindwm_lifecycle.feature-Mindwm Lifecycle Management-Deploy Mindwm Cluster and Applications]",""
"passed","Fri Sep 20 22:20:27 GMT 2024","Fri Sep 20 22:20:27 GMT 2024","137","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Istio]",""
"broken","Fri Sep 20 22:20:27 GMT 2024","Fri Sep 20 22:23:27 GMT 2024","180242","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Redpanda]",""
