"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 20 18:07:32 GMT 2024","Fri Sep 20 18:09:07 GMT 2024","94604","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create Context and check k8s resources]",""
"passed","Fri Sep 20 18:07:04 GMT 2024","Fri Sep 20 18:07:07 GMT 2024","3075","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Context]",""
"passed","Fri Sep 20 18:07:03 GMT 2024","Fri Sep 20 18:07:04 GMT 2024","119","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Istio]",""
"passed","Fri Sep 20 18:09:07 GMT 2024","Fri Sep 20 18:09:18 GMT 2024","11197","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create User and check k8s resources]",""
"passed","Fri Sep 20 18:07:04 GMT 2024","Fri Sep 20 18:07:04 GMT 2024","147","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Redpanda]",""
"passed","Fri Sep 20 18:07:30 GMT 2024","Fri Sep 20 18:07:32 GMT 2024","2339","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Delete Resources and Verify Cleanup]",""
"passed","Fri Sep 20 18:07:04 GMT 2024","Fri Sep 20 18:07:04 GMT 2024","243","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Cert manager]",""
"passed","Fri Sep 20 18:07:07 GMT 2024","Fri Sep 20 18:07:19 GMT 2024","11289","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create User]",""
"passed","Fri Sep 20 18:07:04 GMT 2024","Fri Sep 20 18:07:04 GMT 2024","153","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Nats]",""
"passed","Fri Sep 20 18:07:03 GMT 2024","Fri Sep 20 18:07:03 GMT 2024","409","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Knative]",""
"failed","Fri Sep 20 18:09:18 GMT 2024","Fri Sep 20 18:09:29 GMT 2024","11157","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create Host and check k8s resources]",""
"passed","Fri Sep 20 18:07:04 GMT 2024","Fri Sep 20 18:07:04 GMT 2024","278","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Monitoring]",""
"passed","Fri Sep 20 17:51:47 GMT 2024","Fri Sep 20 18:07:03 GMT 2024","916455","features","0_0_mindwm_lifecycle","","","","test_scenarios[file:features/0_0_mindwm_lifecycle.feature-Mindwm Lifecycle Management-Deploy Mindwm Cluster and Applications]",""
"passed","Fri Sep 20 18:07:19 GMT 2024","Fri Sep 20 18:07:30 GMT 2024","11295","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Host]",""
