"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 27 13:57:05 GMT 2024","Fri Sep 27 13:59:36 GMT 2024","151031","features","5_mindwm_kafka_cdc","","","","test_scenarios[file:features/5_mindwm_kafka_cdc.feature-MindWM kafka_cdc function test-io context blue[table_rows:[line: 68]]]",""
"passed","Fri Sep 27 13:33:23 GMT 2024","Fri Sep 27 13:48:28 GMT 2024","904448","features","0_0_mindwm_lifecycle","","","","test_scenarios[file:features/0_0_mindwm_lifecycle.feature-Mindwm Lifecycle Management-Deploy Mindwm Cluster and Applications]",""
"passed","Fri Sep 27 13:54:04 GMT 2024","Fri Sep 27 13:54:24 GMT 2024","20421","features","3_mindwm_ping_pong","","","","test_scenarios[file:features/3_mindwm_ping_pong.feature-MindWM Ping-pong EDA test-Send ping via broker-ingress.knative-eventing/context-green4/context-broker[table_rows:[line: 81]]]",""
"passed","Fri Sep 27 13:48:30 GMT 2024","Fri Sep 27 13:48:48 GMT 2024","18276","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create User]",""
"passed","Fri Sep 27 13:50:45 GMT 2024","Fri Sep 27 13:53:39 GMT 2024","174000","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Delete Resources and Verify Cleanup]",""
"passed","Fri Sep 27 14:02:40 GMT 2024","Fri Sep 27 14:02:40 GMT 2024","88","features","6","","","","test_scenarios[file:features/6.two_hosts_one_user.feature-MindWM kafka_cdc function test-Cleanup hosts workstation01 in user shesha[table_rows:[line: 98]]]",""
"passed","Fri Sep 27 14:01:26 GMT 2024","Fri Sep 27 14:01:50 GMT 2024","24172","features","6","","","","test_scenarios[file:features/6.two_hosts_one_user.feature-MindWM kafka_cdc function test-Send ping via nats host: workstation01, user: shesha[table_rows:[line: 60]]]",""
"passed","Fri Sep 27 14:02:41 GMT 2024","Fri Sep 27 14:02:43 GMT 2024","2291","features","6","","","","test_scenarios[file:features/6.two_hosts_one_user.feature-MindWM kafka_cdc function test-Cleanup user shesha and context varanasi[table_rows:[line: 110]]]",""
"passed","Fri Sep 27 13:48:48 GMT 2024","Fri Sep 27 13:48:59 GMT 2024","11144","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Host]",""
"passed","Fri Sep 27 14:01:50 GMT 2024","Fri Sep 27 14:02:10 GMT 2024","20165","features","6","","","","test_scenarios[file:features/6.two_hosts_one_user.feature-MindWM kafka_cdc function test-Send ping via nats host: travellaptop, user: shesha[table_rows:[line: 61]]]",""
"passed","Fri Sep 27 13:54:24 GMT 2024","Fri Sep 27 13:54:44 GMT 2024","20271","features","3_mindwm_ping_pong","","","","test_scenarios[file:features/3_mindwm_ping_pong.feature-MindWM Ping-pong EDA test-Send ping via broker-ingress.knative-eventing/user-amanda4/user-broker[table_rows:[line: 82]]]",""
"passed","Fri Sep 27 13:49:03 GMT 2024","Fri Sep 27 13:50:23 GMT 2024","80123","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create Context and check k8s resources]",""
"passed","Fri Sep 27 13:48:28 GMT 2024","Fri Sep 27 13:48:29 GMT 2024","217","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Monitoring]",""
"passed","Fri Sep 27 13:48:28 GMT 2024","Fri Sep 27 13:48:28 GMT 2024","91","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Nats]",""
"passed","Fri Sep 27 13:59:36 GMT 2024","Fri Sep 27 14:01:03 GMT 2024","87443","features","6","","","","test_scenarios[file:features/6.two_hosts_one_user.feature-MindWM kafka_cdc function test-Create context varanasi and user shesha[table_rows:[line: 23]]]",""
"passed","Fri Sep 27 13:53:39 GMT 2024","Fri Sep 27 13:54:03 GMT 2024","24010","features","3_mindwm_ping_pong","","","","test_scenarios[file:features/3_mindwm_ping_pong.feature-MindWM Ping-pong EDA test-Prepare environment for ping tests[table_rows:[line: 25]]]",""
"passed","Fri Sep 27 13:54:54 GMT 2024","Fri Sep 27 13:54:55 GMT 2024","156","features","3_mindwm_ping_pong","","","","test_scenarios[file:features/3_mindwm_ping_pong.feature-MindWM Ping-pong EDA test-Cleanup amanda4@pi6-host in green4[table_rows:[line: 122]]]",""
