"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 21 19:30:32 GMT 2024","Sat Sep 21 19:30:32 GMT 2024","106","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Istio]",""
"passed","Sat Sep 21 19:36:22 GMT 2024","Sat Sep 21 19:36:23 GMT 2024","98","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Cert manager]",""
"passed","Sat Sep 21 19:36:49 GMT 2024","Sat Sep 21 19:38:22 GMT 2024","93189","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create Context and check k8s resources]",""
"passed","Sat Sep 21 19:30:32 GMT 2024","Sat Sep 21 19:36:22 GMT 2024","350417","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Redpanda]",""
"passed","Sat Sep 21 19:38:33 GMT 2024","Sat Sep 21 19:38:44 GMT 2024","11185","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create Host and check k8s resources]",""
"passed","Sat Sep 21 19:36:24 GMT 2024","Sat Sep 21 19:36:35 GMT 2024","11382","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create User]",""
"passed","Sat Sep 21 19:38:22 GMT 2024","Sat Sep 21 19:38:33 GMT 2024","11167","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create User and check k8s resources]",""
"passed","Sat Sep 21 19:36:35 GMT 2024","Sat Sep 21 19:36:47 GMT 2024","11142","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Host]",""
"broken","Sat Sep 21 19:40:57 GMT 2024","Sat Sep 21 19:40:59 GMT 2024","1323","features","3_mindwm_ping_pong","","","","test_scenarios[file:features/3_mindwm_ping_pong.feature-MindWM Ping-pong EDA test-Ping green4[table_rows:[line: 50]]]",""
"passed","Sat Sep 21 19:36:23 GMT 2024","Sat Sep 21 19:36:23 GMT 2024","215","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Monitoring]",""
"passed","Sat Sep 21 19:30:27 GMT 2024","Sat Sep 21 19:30:32 GMT 2024","5395","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Knative]",""
"passed","Sat Sep 21 19:36:23 GMT 2024","Sat Sep 21 19:36:24 GMT 2024","1053","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Context]",""
"passed","Sat Sep 21 19:36:47 GMT 2024","Sat Sep 21 19:36:49 GMT 2024","2381","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Delete Resources and Verify Cleanup]",""
"passed","Sat Sep 21 19:38:44 GMT 2024","Sat Sep 21 19:40:57 GMT 2024","132732","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Delete Resources and Verify Cleanup]",""
"passed","Sat Sep 21 19:36:23 GMT 2024","Sat Sep 21 19:36:23 GMT 2024","97","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Nats]",""
"passed","Sat Sep 21 19:15:05 GMT 2024","Sat Sep 21 19:30:27 GMT 2024","921898","features","0_0_mindwm_lifecycle","","","","test_scenarios[file:features/0_0_mindwm_lifecycle.feature-Mindwm Lifecycle Management-Deploy Mindwm Cluster and Applications]",""
