"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","492","Tekton-pipelines","features","Tue May 13 16:02:10 UTC 2025","passed","Tue May 13 16:02:11 UTC 2025","","Mindwm event driven architecture","",""
"","33788","Send ping message to the service","features","Tue May 13 16:03:32 UTC 2025","passed","Tue May 13 16:04:06 UTC 2025","","Mindwm event driven architecture","",""
"","21607","Send ping cloudevent to endpoint broker-ingress.knative-eventing/context-green4/context-broker, username: amanda4, host: pi6-host, traceparent: 00-5df92f3577b34da6a3ce929d0e0e4734-00f067aa0ba902b7-00","features","Tue May 13 16:13:31 UTC 2025","passed","Tue May 13 16:13:53 UTC 2025","","MindWM Ping-pong EDA test","",""
"","317","Istio","features","Tue May 13 16:02:08 UTC 2025","passed","Tue May 13 16:02:08 UTC 2025","","Mindwm event driven architecture","",""
"","76","Create Context","features","Tue May 13 16:06:53 UTC 2025","passed","Tue May 13 16:06:54 UTC 2025","","MindWM Custom Resource Definition","",""
"","322","Crossplane","features","Tue May 13 16:02:10 UTC 2025","passed","Tue May 13 16:02:10 UTC 2025","","Mindwm event driven architecture","",""
"","218","zot registry","features","Tue May 13 16:02:11 UTC 2025","passed","Tue May 13 16:02:11 UTC 2025","","Mindwm event driven architecture","",""
"","10387","Send ping cloudevent to endpoint broker-ingress.knative-eventing/user-amanda4/user-broker, username: amanda4, host: pi6-host, traceparent: 00-6df93f3577b34da6a3ce929d0e0e4742-00f067aa0ba902b7-00","features","Tue May 13 16:13:53 UTC 2025","failed","Tue May 13 16:14:03 UTC 2025","","MindWM Ping-pong EDA test","",""
"","488","MindWM CRD","features","Tue May 13 16:02:06 UTC 2025","passed","Tue May 13 16:02:06 UTC 2025","","Mindwm event driven architecture","",""
"","667","Knative operator","features","Tue May 13 16:02:06 UTC 2025","passed","Tue May 13 16:02:07 UTC 2025","","Mindwm event driven architecture","",""
"","520","Monitoring","features","Tue May 13 16:02:09 UTC 2025","passed","Tue May 13 16:02:10 UTC 2025","","Mindwm event driven architecture","",""
"","386","Knative Serving","features","Tue May 13 16:02:07 UTC 2025","passed","Tue May 13 16:02:07 UTC 2025","","Mindwm event driven architecture","",""
"","237","Delete Resources and Verify Cleanup","features","Tue May 13 16:07:16 UTC 2025","passed","Tue May 13 16:07:16 UTC 2025","","MindWM Custom Resource Definition","",""
"","308","Cert manager","features","Tue May 13 16:02:09 UTC 2025","passed","Tue May 13 16:02:09 UTC 2025","","Mindwm event driven architecture","",""
"","180092","Delete Resources and Verify Cleanup","features","Tue May 13 16:09:55 UTC 2025","passed","Tue May 13 16:12:55 UTC 2025","","MindWM Custom kubernetes resources","",""
"","80978","Create configmap with knative function definition","features","Tue May 13 16:02:11 UTC 2025","passed","Tue May 13 16:03:32 UTC 2025","","Mindwm event driven architecture","",""
"","302","Redpanda","features","Tue May 13 16:02:08 UTC 2025","passed","Tue May 13 16:02:09 UTC 2025","","Mindwm event driven architecture","",""
"","11633","Create Host","features","Tue May 13 16:07:04 UTC 2025","passed","Tue May 13 16:07:15 UTC 2025","","MindWM Custom Resource Definition","",""
"","167903","cleanup","features","Tue May 13 16:04:06 UTC 2025","passed","Tue May 13 16:06:53 UTC 2025","","Mindwm event driven architecture","",""
"","212","Nats","features","Tue May 13 16:02:09 UTC 2025","passed","Tue May 13 16:02:09 UTC 2025","","Mindwm event driven architecture","",""
"","35617","Prepare environment for ping tests","features","Tue May 13 16:12:55 UTC 2025","passed","Tue May 13 16:13:31 UTC 2025","","MindWM Ping-pong EDA test","",""
"","10263","Create Host workstation","features","Tue May 13 16:09:45 UTC 2025","passed","Tue May 13 16:09:55 UTC 2025","","MindWM Custom kubernetes resources","",""
"","148","ArgoCD","features","Tue May 13 16:02:08 UTC 2025","passed","Tue May 13 16:02:08 UTC 2025","","Mindwm event driven architecture","",""
"","10297","Create User","features","Tue May 13 16:06:54 UTC 2025","passed","Tue May 13 16:07:04 UTC 2025","","MindWM Custom Resource Definition","",""
"","282","Send ping to knative ping service, context: green4, username: amanda4, host: pi6-host","features","Tue May 13 16:13:31 UTC 2025","passed","Tue May 13 16:13:31 UTC 2025","","MindWM Ping-pong EDA test","",""
"","138422","Prepare environment, context: cyan","features","Tue May 13 16:07:16 UTC 2025","passed","Tue May 13 16:09:34 UTC 2025","","MindWM Custom kubernetes resources","",""
"","489","Knative Eventing","features","Tue May 13 16:02:07 UTC 2025","passed","Tue May 13 16:02:08 UTC 2025","","Mindwm event driven architecture","",""
"","159","Check net-istio pods","features","Tue May 13 16:12:55 UTC 2025","passed","Tue May 13 16:12:55 UTC 2025","","Knative-Serving net-istio","",""
"","570358","Deploy Mindwm Cluster and Applications","features","Tue May 13 15:52:35 UTC 2025","passed","Tue May 13 16:02:06 UTC 2025","","Mindwm Lifecycle Management","",""
"","10372","Create User bob","features","Tue May 13 16:09:34 UTC 2025","passed","Tue May 13 16:09:45 UTC 2025","","MindWM Custom kubernetes resources","",""
