"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 18 13:01:18 GMT 2024","Wed Sep 18 13:01:18 GMT 2024","3","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create User]",""
"broken","Wed Sep 18 13:01:18 GMT 2024","Wed Sep 18 13:01:18 GMT 2024","3","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Context]",""
"broken","Wed Sep 18 13:01:18 GMT 2024","Wed Sep 18 13:01:18 GMT 2024","2","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Host]",""
"broken","Wed Sep 18 13:01:18 GMT 2024","Wed Sep 18 13:01:18 GMT 2024","2","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Delete Resources and Verify Cleanup]",""
"failed","Wed Sep 18 13:01:18 GMT 2024","Wed Sep 18 13:01:18 GMT 2024","6","features","0_minwdm_lifecycle","","","","test_scenarios[file:features/0_minwdm_lifecycle.feature-Mindwm Lifecycle Management-Deploy Mindwm Cluster and Applications]",""
