"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 08 16:26:36 GMT 2024","Tue Oct 08 16:26:48 GMT 2024","12414","features","8_mindwm_two_contexts","","","","test_scenarios[file:features/8_mindwm_two_contexts.feature-Context Resource Readiness and Cleanup Verification-Cleanup Contexts and Verify Resources Are Deleted[table_rows:[line: 62]]]",""
"passed","Tue Oct 08 16:10:50 GMT 2024","Tue Oct 08 16:11:01 GMT 2024","11180","features","3_mindwm_ping_pong","","","","test_scenarios[file:features/3_mindwm_ping_pong.feature-MindWM Ping-pong EDA test-Send ping via nats[table_rows:[line: 110]]]",""
"passed","Tue Oct 08 16:11:02 GMT 2024","Tue Oct 08 16:13:39 GMT 2024","157494","features","4_mindwm_io_context","","","","test_scenarios[file:features/4_mindwm_io_context.feature-MindWM io context function test-io context red[table_rows:[line: 57]]]",""
"passed","Tue Oct 08 16:03:40 GMT 2024","Tue Oct 08 16:03:57 GMT 2024","16772","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create User]",""
"passed","Tue Oct 08 16:16:23 GMT 2024","Tue Oct 08 16:16:24 GMT 2024","198","features","5_mindwm_kafka_cdc","","","","test_scenarios[file:features/5_mindwm_kafka_cdc.feature-MindWM kafka_cdc function test-Cleanup garmr@helheim in blue[table_rows:[line: 82]]]",""
"passed","Tue Oct 08 16:29:33 GMT 2024","Tue Oct 08 16:29:56 GMT 2024","22667","features","9_mindwm_clipboard","","","","test_scenarios[file:features/9_mindwm_clipboard.feature-MindWM clipboard EDA test-Send ping directly to function broker-ingress.knative-eventing/user-flukeman/user-broker[table_rows:[line: 84]]]",""
"passed","Tue Oct 08 16:03:38 GMT 2024","Tue Oct 08 16:03:39 GMT 2024","165","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Cert manager]",""
"passed","Tue Oct 08 16:22:22 GMT 2024","Tue Oct 08 16:22:49 GMT 2024","26473","features","7_mindwm_two_users_one_context","","","","test_scenarios[file:features/7_mindwm_two_users_one_context.feature-MindWM two users one context function test-Send iodocument via nats host: <host>, user: <username> and check that second user received graph update[table_rows:[line: 63]]]",""
"passed","Tue Oct 08 16:21:49 GMT 2024","Tue Oct 08 16:22:01 GMT 2024","11176","features","7_mindwm_two_users_one_context","","","","test_scenarios[file:features/7_mindwm_two_users_one_context.feature-MindWM two users one context function test-Create tengu and connects it to tokyo[table_rows:[line: 28]]]",""
"passed","Tue Oct 08 16:28:59 GMT 2024","Tue Oct 08 16:29:11 GMT 2024","12085","features","9_mindwm_clipboard","","","","test_scenarios[file:features/9_mindwm_clipboard.feature-MindWM clipboard EDA test-Send clipboard to knative ping service[table_rows:[line: 51]]]",""
"passed","Tue Oct 08 16:03:39 GMT 2024","Tue Oct 08 16:03:39 GMT 2024","320","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Monitoring]",""
